file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
Henry Morgenthau papers.pdf	100	4	0.0659	1275	1650	84	720-804	146	252	242-302,720-804,978-1031,1032-1112
Henry Morgenthau papers.pdf	150	2	0.0667	1275	1650	85	728-813	145	212	240-300,728-813
Herbert Marks papers.pdf	3	0	0.0133	1275	1650	17	213-230	210	342	-
Herbert Marks papers.pdf	7	0	0.0102	1275	1650	13	215-228	211	313	-
Herbert Marks papers.pdf	11	0	0.0047	1275	1650	6	194-200	216	375	-
Intellectual History Newsletter -- Forum on Menand.pdf	11	0	0.0000	1107	1498	0	-	141	297	-
Intellectual History Newsletter -- Forum on Menand.pdf	22	0	0.0000	1107	1498	0	-	142	311	-
Intellectual History Newsletter -- Forum on Menand.pdf	33	0	0.0000	1107	1498	0	-	142	294	-
Lyons oral history.pdf	28	0	0.0157	1275	1650	20	318-338	165	234	-
Lyons oral history.pdf	57	0	0.0157	1275	1650	20	318-338	164	212	-
Lyons oral history.pdf	85	0	0.0157	1275	1650	20	318-338	164	224	-
Nogales oral history.pdf	11	0	0.0000	1275	1650	0	-	165	246	-
Nogales oral history.pdf	23	0	0.0078	1275	1650	10	280-290	164	233	-
Nogales oral history.pdf	34	0	0.0071	1275	1650	9	280-289	165	202	-
October_2,_1960_(Page_24_of_25.pdf	1	0	0.0066	2257	3954	15	1131-1146	142	3921	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	2	0	0.0224	1293	1664	29	887-916	148	1585	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	5	0	0.0000	1281	1653	0	-	174	1583	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	7	0	0.0000	1284	1656	0	-	167	1482	-
Riesman_1964_From inner-directed to other- directed_.pdf	4	0	0.0135	739	1300	10	474-484	152	298	-
Riesman_1964_From inner-directed to other- directed_.pdf	9	0	0.0000	741	1300	0	-	148	298	-
Riesman_1964_From inner-directed to other- directed_.pdf	13	0	0.0000	742	1300	0	-	144	414	-
Riesman_1964_The New Education_.pdf	3	0	0.0000	715	1101	0	-	149	226	-
Riesman_1964_The New Education_.pdf	6	0	0.0000	729	1197	0	-	153	283	-
Riesman_1964_The New Education_.pdf	9	0	0.0000	721	1098	0	-	148	206	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	7	0	0.0000	699	1084	0	-	156	294	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	15	0	0.0000	710	1079	0	-	154	277	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	22	0	0.0000	704	1089	0	-	161	272	-
Senate, Democratic Leadership.pdf	6	0	0.0000	1275	1650	0	-	141	296	-
Senate, Democratic Leadership.pdf	13	0	0.0000	1275	1650	0	-	142	403	-
Senate, Democratic Leadership.pdf	20	0	0.0031	1275	1650	4	315-319	142	315	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	1	0	0.0000	1191	1746	0	-	178	209	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	2	0	0.0000	969	1419	0	-	182	175	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	3	0	0.0010	992	1441	1	402-403	178	238	-
Stiglitz1975(onPasinetti1974).pdf	1	0	0.0000	1240	1754	0	-	151	239	-
Stiglitz1975(onPasinetti1974).pdf	2	0	0.0093	1075	1500	10	521-531	149	325	-
Stiglitz1975(onPasinetti1974).pdf	3	0	0.0028	1075	1500	3	526-529	148	397	-
_1939_Former students to Board re Merriam_.pdf	4	0	0.0005	4031	5400	2	3273-3275	123	814	-
_1939_Former students to Board re Merriam_.pdf	9	0	0.0000	4031	5400	0	-	127	766	-
_1939_Former students to Board re Merriam_.pdf	13	0	0.0000	4031	5400	0	-	116	870	-
_1953_99 Cong_ 2.pdf	7	0	0.0028	1407	1658	4	866-870	159	584	-
_1953_99 Cong_ 2.pdf	15	0	0.0028	1407	1658	4	864-868	156	612	-
_1953_99 Cong_ 2.pdf	23	0	0.0028	1407	1658	4	854-858	155	600	-
_1953_99 Cong_.pdf	8	0	0.0021	1444	1652	3	881-884	154	516	-
_1953_99 Cong_.pdf	16	0	0.0014	1444	1652	2	563-565	153	626	-
_1953_99 Cong_.pdf	24	0	0.0021	1444	1652	3	879-882	151	575	-
_1953_Conspicuous Production_.pdf	1	0	0.0031	1309	1678	4	686-690	136	1308	-
