document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
2017_Bunnell oral history, athletics	p47	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
2024 - Class Action lawsuit re need blind admissions	p26	156	0.042	0.017	0.003	0.0001	0.00000	0.00000	1612948	1	1-bit	546	31320	2	22	22	19	23	0.00429	0.25000
2024 - Class Action lawsuit re need blind admissions	p51	155	0.048	0.019	0.003	0.0000	0.00000	0.00000	1612948	1	1-bit	716	35283	2	22	22	19	24	0.00430	0.25000
Atkinson_1939_Atkinson on firings_	p2	118	0.096	0.160	0.061	0.1098	0.00944	0.00776	3844260	1	picture	324089	208759	585	71	585	808	808	0.03324	0.25000
Atkinson_1939_Atkinson on firings_	p3	130	0.102	0.157	0.045	0.0808	0.00053	0.00218	3844260	1	picture	324902	220500	510	80	510	787	916	0.01066	0.25000
Ford_1941_Speech_	p3	116	0.053	0.149	0.045	0.0074	0.00036	0.00074	3844260	1	picture	39640	89967	264	202	264	275	368	0.01116	0.25000
Ford_1941_Speech_	p5	126	0.092	0.336	0.057	0.0788	0.00069	0.00361	3844260	1	picture	164541	93164	340	56	340	415	452	0.04082	0.25000
Freud_Fetishism	p3	90	0.035	0.000	0.000	0.0000	0.00000	0.00000	2440542	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
Freud_Fetishism	p5	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	2440542	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
Galison_1998_Trading Zone_	p5	90	0.127	0.000	0.000	0.0000	0.00000	0.00000	2517810	2	1-bit	0	0	0	1335	1335	0	1335	0.00000	0.25000
Galison_1998_Trading Zone_	p10	90	0.135	0.000	0.000	0.0000	0.00000	0.00000	2497968	2	1-bit	0	0	0	1328	1328	0	1328	0.00000	0.25000
Geiger oral history	p34	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
