doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	24	15	15	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	25	18	18	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	26	10	10	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	27	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	28	4	4	0	Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	29	3	3	0	Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	33	2	2	0	Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	34	0	0	0	-	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	35	0	0	0	-	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	37	0	0	0	-	none	no	no	18	no	no
Wells_2015_A Long View of Shareholder Power.pdf	67	1	1	0	0	0	-	none	no	no	0	no	yes
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature.pdf	4	1	1	0	0	0	-	none	no	no	2	no	no
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	32	1	1	0	0	0	-	none	no	no	0	no	yes
_1985_Issue 2_New Perspectives.pdf	29	1	1	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Davis_2005_Optimism of the Will_Nation.pdf	5	3	2	3	3	0	Highlight,Highlight,Highlight	subtype	yes	yes	0	no	no
