document	page	source_route	source_page_bytes	before_route	before_page_bytes	after_route	after_page_bytes
Dobbin	321	passthrough	48892	passthrough	57118	passthrough	48892
Delton	1	passthrough	119985	passthrough	153185	passthrough	119985
Delton	2	jbig2	28830	flate-1bit	261038	jbig2	85954
Delton	3	jbig2	28254	flate-1bit	318295	jbig2	104654
Delton	4	jbig2	34226	flate-1bit	331278	jbig2	108026
Delton	5	jbig2	24645	flate-1bit	319531	jbig2	102692
Delton	6	jbig2	30470	flate-1bit	337228	jbig2	110766
Delton	7	jbig2	23819	flate-1bit	318849	jbig2	104714
Delton	8	jbig2	28099	flate-1bit	316093	jbig2	104646
Delton	9	jbig2	26303	flate-1bit	327834	jbig2	108473
Delton	10	jbig2	26592	flate-1bit	329099	jbig2	108133
Delton	11	jbig2	26368	flate-1bit	331462	jbig2	109948
Delton	12	jbig2	27654	flate-1bit	333472	jbig2	110182
Delton	13	jbig2	21968	flate-1bit	323270	jbig2	102461
Delton	14	jbig2	31539	flate-1bit	315198	jbig2	104223
Delton	15	jbig2	21270	flate-1bit	329788	jbig2	106041
Delton	16	jbig2	26694	flate-1bit	324473	jbig2	108058
Delton	17	jbig2	22410	flate-1bit	313705	jbig2	100400
Delton	18	jbig2	25975	flate-1bit	329395	jbig2	108862
Delton	19	jbig2	23422	flate-1bit	320013	jbig2	102593
Delton	20	jbig2	26485	flate-1bit	331633	jbig2	110546
Delton	21	jbig2	23222	flate-1bit	315725	jbig2	102704
Delton	22	jbig2	27102	flate-1bit	333056	jbig2	112814
Delton	23	jbig2	26944	flate-1bit	330549	jbig2	107439
Delton	24	jbig2	26607	flate-1bit	330832	jbig2	107350
Delton	25	jbig2	22711	flate-1bit	322108	jbig2	104613
Delton	26	jbig2	30982	flate-1bit	322932	jbig2	106038
Delton	27	jbig2	20994	flate-1bit	300145	jbig2	95319
Delton	28	jbig2	23358	flate-1bit	310445	jbig2	102187
Hughes	1	passthrough	123351	passthrough	151001	passthrough	123351
Hughes	2	jbig2	83281	flate-1bit	406850	jbig2	123633
Hughes	3	jbig2	84593	flate-1bit	452205	jbig2	138662
Hughes	4	jbig2	92865	flate-1bit	170980	jbig2	60762
Hughes	5	jbig2	89581	flate-1bit	370715	jbig2	114453
Hughes	6	jbig2	93637	flate-1bit	306700	jbig2	90576
Hughes	7	jbig2	94741	flate-1bit	461506	jbig2	146886
Hughes	8	jbig2	87345	flate-1bit	443332	jbig2	141359
Hughes	9	jbig2	86575	flate-1bit	388896	jbig2	124075
Dobbin	total	file	2568873	file	17591723	file	2607036
Delton	total	file	954409	file	8271678	file	2487160
Hughes	total	file	542468	file	3016246	file	945890
